economy,Country,Year,AG.LND.FRST.K2,AG.SRF.TOTL.K2,ER.PTD.TOTL.ZS,GB.XPD.RSDV.GD.ZS,GE.EST,IP.JRN.ARTC.SC,IT.NET.USER.ZS,NY.GDP.PCAP.CD,SE.PRM.ENRR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SP.POP.SCIE.RD.P6,SP.POP.TECH.RD.P6,Country code,Coverage subscore,Openness subscore,Overall score
AGO,Angola,2022,654972.511,1246700.0,5.0,,-1.02603423595428,44.99,42.1,2929.69445467272,86.7067961582083,,,6.64047193527222,2.3321259021759,,,AGO,37.7,32.3,34.8
AGO,Angola,2023,,,7.7,,-1.00890958309174,,44.8,2309.53413042773,,,9.91084957122803,7.73896265029907,,,,,,,
AGO,Angola,2024,,,7.7,,,,,2122.08368991872,,,,,,,,AGO,47.4,39.2,43
AND,Andorra,2000,160.0,470.0,,,1.38048672676086,0.0,10.5,21810.2487431414,,,,,,,,,,,
AND,Andorra,2001,160.0,470.0,,,,2.64,,23511.2951475737,,,,,,,,,,,
AND,Andorra,2002,160.0,470.0,,,1.36772322654724,0.5,11.3,26528.130158144,98.2305068969727,76.6895217895508,6.82690000534058,,1.65971004962921,,,,,,
AND,Andorra,2003,160.0,470.0,,,1.34903717041016,4.7,13.5,34063.5784034776,95.1090698242188,76.0657272338867,7.34165000915527,,,,,,,,
AND,Andorra,2004,160.0,470.0,,,1.50376403331757,1.31,26.8,39021.1278101878,92.978630065918,76.2195129394531,7.65849018096924,,1.54411995410919,,,,,,
AND,Andorra,2005,160.0,470.0,,,1.28759801387787,4.93,37.6,40829.801876968,84.2615509033203,86.0861587524414,7.87655019760132,,1.64497005939484,,,,,,
AND,Andorra,2006,160.0,470.0,,,1.53840279579163,5.02,48.9,43467.2109930745,84.4279937744141,86.146598815918,9.31690979003906,,2.24489998817444,,,,,,
AND,Andorra,2007,160.0,470.0,,,1.50177264213562,6.23,70.9,48336.2283329823,86.8720626831055,84.9232788085938,,,2.10469007492065,,,,,,
AND,Andorra,2008,160.0,470.0,,,1.52840650081635,1.68,70.0,49132.515707808,89.4464416503906,85.1802673339844,11.742130279541,,2.87392997741699,,,,,,
AND,Andorra,2009,160.0,470.0,,,1.53620111942291,2.55,78.5,43975.0183668093,90.2379989624023,86.7272262573242,,,3.14292001724243,,,,,,
AND,Andorra,2010,160.0,470.0,,,1.51271617412567,1.2,81.0,42746.8309526019,90.1155624389648,89.9800491333008,,,2.97662997245789,,,,,,
AND,Andorra,2011,160.0,470.0,,,1.49892425537109,0.88,81.0,46657.1561173756,89.0909118652344,93.692268371582,,,2.98706007003784,,,,,,
AND,Andorra,2012,160.0,470.0,,,1.52334606647491,4.53,82.7,41500.5435791686,88.1348724365234,92.2807006835938,13.2810401916504,9.84161376953125,2.56577897071838,,,,,,
AND,Andorra,2013,160.0,470.0,9.2,,1.53249549865723,5.26,84.4,42470.3161159692,87.6535186767578,90.9656677246094,14.7599496841431,6.19552993774414,2.50616002082825,,,,,,
AND,Andorra,2014,160.0,470.0,18.2,,1.71216595172882,4.18,86.1,44369.659691379,88.2352905273438,91.8740692138672,13.7001399993896,13.3152103424072,3.07420992851257,,,,,,
AND,Andorra,2015,160.0,470.0,21.1,,1.74073541164398,7.96,87.9,38654.9347203095,88.9553527832031,92.5457992553711,13.8819599151611,10.4428100585938,3.28034996986389,,,,,,
AND,Andorra,2016,160.0,470.0,21.1,,1.80540561676025,7.83,89.7,40129.8192007698,90.1719436645508,94.2090682983398,15.1089096069336,9.99098014831543,3.23707008361816,,,,,,
AND,Andorra,2017,160.0,470.0,26.7,,1.87694644927979,1.67,91.6,40672.9943348258,89.3710708618164,94.3697509765625,15.4369401931763,9.39243984222412,3.21708989143372,,,AND,24.3,31.9,28.5
AND,Andorra,2018,160.0,470.0,26.7,,1.87921941280365,3.19,,42819.7745797624,89.6744766235352,95.0905990600586,15.3940296173096,13.4619197845459,3.2467200756073,,,AND,29.3,36.3,33.2
AND,Andorra,2019,160.0,470.0,26.7,,1.85192060470581,5.41,90.7,41257.8045846483,89.352897644043,95.6840591430664,15.0,10.8952398300171,3.15060997009277,,,,,,
AND,Andorra,2020,160.0,470.0,26.7,,1.7492413520813,8.14,93.2,37361.0900666982,88.7170867919922,96.4627532958984,15.0982704162598,8.99186897277832,2.63213038444519,,,AND,28.7,33.9,31.8
AND,Andorra,2021,160.0,470.0,26.9,,1.74892807006836,9.44,93.9,42425.6996756291,88.8840789794922,97.3252334594727,15.204270362854,10.2647352218628,2.58397221565247,,,,,,
AND,Andorra,2022,160.0,470.0,26.9,,1.49526071548462,9.6,94.5,42414.0590092117,90.147346496582,97.4890365600586,34.4803504943848,6.96124982833862,2.64728999137878,,,AND,47.6,67.3,59.2
AND,Andorra,2023,,,26.9,,1.4754387140274,,95.4,46812.4484486309,97.6228637695312,99.7635498046875,64.2772369384766,12.7695150375366,1.92790997028351,,,,,,
AND,Andorra,2024,,,27.3,,,,,49303.6733899464,,,,,,,,AND,50.6,65.1,59.2
ARG,Argentina,2000,333780.0,2780400.0,,0.438840001821518,-0.0280386935919523,4231.85,7.04,7637.01489203628,117.281173706055,96.6217880249023,54.3332710266113,16.2261505126953,4.58030986785889,713.927124023438,158.28249,,,,
ARG,Argentina,2001,330616.0,2780400.0,,0.424609988927841,,4356.17,9.78,7141.47507662826,117.307037353516,98.0622406005859,58.791690826416,16.3559608459473,4.833740234375,685.597229003906,166.62351,,,,
ARG,Argentina,2002,327452.0,2780400.0,,0.388859987258911,-0.228479072451591,4681.53,10.9,2569.69963519124,117.299240112305,97.468132019043,62.0592613220215,16.4422092437744,4.01734018325806,689.510925292969,161.13902,,,,
ARG,Argentina,2003,324288.0,2780400.0,,0.410129994153976,-0.0342199839651585,4484.81,11.9,3320.47775133903,114.676582336426,96.5058364868164,64.4024505615234,14.3547201156616,3.53504991531372,715.84326171875,168.76765,,,,
ARG,Argentina,2004,321124.0,2780400.0,,0.403759986162186,0.015197392553091,4604.3,16.0,4242.02099089422,115.667877197266,95.9976196289062,64.8878479003906,15.1393003463745,3.48652005195618,763.139038085938,180.99878,,,,
ARG,Argentina,2005,317960.0,2780400.0,,0.420740008354187,-0.0979790613055229,4883.23,17.7,5067.65342293276,114.744766235352,94.1866607666016,63.732349395752,15.8031702041626,3.86000990867615,816.841186523438,200.24204,,,,
ARG,Argentina,2006,314796.0,2780400.0,,0.452160000801086,-0.0339163094758987,5574.16,20.9,5869.38028970204,116.316131591797,92.9617309570312,67.1185913085938,15.5098400115967,4.12821006774902,888.891662597656,207.45801,,,,
ARG,Argentina,2007,311632.0,2780400.0,,0.460070013999939,-0.0125325033441186,5682.94,25.9,7185.25155147027,117.350616455078,92.6104202270508,66.9094467163086,15.1015701293945,4.46260023117065,971.290100097656,194.83778,,,,
ARG,Argentina,2008,308468.0,2780400.0,,0.470550000667572,-0.123509347438812,6229.5,28.1,8944.1102657357,118.43701171875,93.5038223266602,68.816291809082,15.7478399276733,4.84440994262695,1032.6748046875,205.4882,,,,
ARG,Argentina,2009,305304.0,2780400.0,,0.583980023860931,-0.294032037258148,6819.11,34.0,8150.23527028221,118.401557922363,96.6370162963867,71.0374603271484,16.0206699371338,5.53105020523071,1031.64135742188,227.03476,,,,
ARG,Argentina,2010,302140.0,2780400.0,,0.561039984226227,-0.1117919459939,7153.65,45.0,10260.1313108254,118.234718322754,99.2300033569336,74.1875305175781,15.0479698181152,5.01971006393433,1119.05029296875,247.45846,,,,
ARG,Argentina,2011,299906.0,2780400.0,,0.565970003604889,-0.0723610669374466,7625.07,51.0,12704.2831819684,117.463752746582,100.993843078613,77.4296112060547,15.1585597991943,5.29062986373901,1175.37231445312,272.47976,,,,
ARG,Argentina,2012,297672.0,2780400.0,,0.634909987449646,-0.206967011094093,7803.52,55.8,12949.717486654,116.51634979248,102.782302856445,78.4559097290039,14.5182600021362,5.34582996368408,1197.65539550781,307.17135,,,,
ARG,Argentina,2013,295438.0,2780400.0,5.0,0.618489980697632,-0.254236966371536,7945.07,59.9,12963.675773326,114.509239196777,104.596748352051,78.7686614990234,14.4579296112061,5.43661022186279,1193.37329101562,320.69368,,,,
ARG,Argentina,2014,293204.0,2780400.0,7.3,0.593959987163544,-0.111114293336868,8330.4,64.7,12233.1444119186,113.961883544922,106.092132568359,81.1694107055664,13.7993297576904,5.36144018173218,1202.47387695312,318.78033,,,,
ARG,Argentina,2015,290970.0,2780400.0,7.4,0.622619986534119,-0.0494756102561951,8393.72,68.0,13679.6264980954,113.778198242188,107.549072265625,83.762580871582,13.9633102416992,5.77611017227173,1225.50988769531,326.07927,ARG,50.2,25.6,37.0
ARG,Argentina,2016,290100.0,2780400.0,7.5,0.558149993419647,0.218796372413635,8601.99,71.0,12699.9623137756,112.944267272949,109.645942687988,86.6178817749023,13.3555402755737,5.54548978805542,1254.06677246094,328.60276,ARG,37.1,26.8,31.6
ARG,Argentina,2017,288990.0,2780400.0,7.5,0.556309998035431,0.135085612535477,8793.98,74.3,14532.5009308511,111.681457519531,110.412406921387,89.2329406738281,13.2639198303223,5.45431995391846,1206.01904296875,349.52207,ARG,38.5,36.7,37.5
ARG,Argentina,2018,287910.0,2780400.0,7.2,0.488299995660782,0.0280606187880039,9234.47,77.7,11752.7998922979,111.545608520508,109.696998596191,90.9728317260742,12.5233402252197,4.87773990631104,1220.93627929688,398.051,ARG,41.7,38.4,39.9
ARG,Argentina,2019,286810.0,2780400.0,9.4,0.478130012750626,-0.120795331895351,9223.65,79.9,9955.97478680428,111.36531829834,110.498527526855,95.0775527954102,12.5144596099854,4.7716498374939,1224.69934082031,,,,,
ARG,Argentina,2020,285730.0,2780400.0,9.4,0.541260004043579,-0.254261821508408,9999.61,85.5,8535.59938004389,110.617813110352,112.416679382324,99.266227722168,12.4222898483276,5.27689981460571,1250.48352050781,,ARG,52.0,42.4,46.8
ARG,Argentina,2021,284636.667,2780400.0,9.4,0.522159993648529,-0.390557259321213,9980.73,87.2,10738.0179223384,110.156112670898,116.559448242188,107.130661010742,12.2848997116089,4.64117002487183,1288.134765625,,,,,
ARG,Argentina,2022,283552.222,2780400.0,9.6,0.549470007419586,-0.28348970413208,9122.18,88.4,13935.6811110049,108.722412109375,115.434867858887,107.047912597656,12.7075796127319,4.80521011352539,1296.45434570312,,ARG,50.9,40.4,45.2
ARG,Argentina,2023,,,9.6,,-0.377517342567444,,89.2,14187.4827252965,,,,,,,,,,,
ARG,Argentina,2024,,,9.7,,,,,13858.2039802008,,,,,,,,ARG,61.7,57,59.2
ARM,Armenia,2000,3326.4,29740.0,,0.1910600066185,-0.546417593955994,348.04,1.3,593.450581742282,88.3385314941406,90.1155776977539,35.331470489502,,2.77273011207581,,,,,,
ARM,Armenia,2001,3324.32,29740.0,,0.279870003461838,,323.2,1.63,659.588988535629,93.4416732788086,85.9923095703125,33.6579399108887,,2.46943998336792,,,,,,
ARM,Armenia,2002,3322.24,29740.0,,0.252550005912781,-0.0457692667841911,319.06,1.96,742.651118319819,90.6743011474609,,35.8594512939453,,2.13504004478455,,,,,,
ARM,Armenia,2003,3320.16,29740.0,,0.321090012788773,-0.197253704071045,323.45,4.58,882.030167695474,93.5719833374023,,36.6645317077637,,2.1450400352478,,,,,,
ARM,Armenia,2004,3318.08,29740.0,,0.256590008735657,-0.118263445794582,344.62,4.9,1130.08791444158,94.7377319335938,84.5256576538086,37.0803489685059,,2.48673009872437,,,,,,
ARM,Armenia,2005,3316.0,29740.0,,0.257609993219376,-0.142497807741165,394.95,5.25,1557.48458908655,93.726318359375,86.7430114746094,38.3384399414062,,2.71202993392944,,,,,,
ARM,Armenia,2006,3313.92,29740.0,,0.240569993853569,-0.261502921581268,358.51,5.63,2041.65267068997,95.9769287109375,89.1132202148438,41.8117218017578,,2.71577000617981,,,,,,
ARM,Armenia,2007,3311.84,29740.0,,0.211070001125336,-0.381906569004059,405.91,6.02,2962.70234594569,106.073532104492,89.9713287353516,44.433708190918,,3.01893997192383,,,,,,
ARM,Armenia,2008,3309.76,29740.0,,0.224380001425743,-0.177952587604523,384.85,6.21,3777.66859313767,107.106376647949,89.1584701538086,45.9996299743652,,3.17272996902466,,,,,,
ARM,Armenia,2009,3307.68,29740.0,,0.29093000292778,-0.0268956422805786,438.63,15.3,2820.5926553347,105.322792053223,94.7720184326172,47.3799514770508,,3.84079003334045,,,,,,
ARM,Armenia,2010,3305.6,29740.0,,0.241390004754066,-0.171523153781891,493.99,25.0,3041.34450723339,96.6795196533203,100.519088745117,47.7453117370605,,3.24900007247925,,,,,,
ARM,Armenia,2011,3303.52,29740.0,,0.270139992237091,-0.11502830684185,588.71,32.0,3349.55309771906,96.5201721191406,90.0805282592773,47.8231010437012,,3.14385008811951,,,,,,
ARM,Armenia,2012,3301.44,29740.0,,0.238529995083809,-0.0323866233229637,548.98,37.5,3511.56399687426,96.4941024780273,,41.4842185974121,,2.77248001098633,,,,,,
ARM,Armenia,2013,3299.36,29740.0,23.3,0.222159996628761,0.0783172845840454,532.37,41.9,3680.16692158886,99.3458786010742,84.4040374755859,41.6240310668945,8.74975109100342,2.65018010139465,,,,,,
ARM,Armenia,2014,3297.28,29740.0,23.1,0.241510003805161,-0.257329761981964,540.71,54.6,3852.11800610384,100.915573120117,84.9311065673828,44.411018371582,,2.24724006652832,,,,,,
ARM,Armenia,2015,3295.2,29740.0,23.1,0.250019997358322,-0.331789612770081,534.03,59.1,3512.39350276709,102.382690429688,85.793701171875,45.4674301147461,,2.80591011047363,,,ARM,56.7,49.0,52.5
ARM,Armenia,2016,3293.1,29740.0,23.1,0.233050003647804,-0.31255441904068,536.98,64.3,3524.42476874707,103.061706542969,,51.7460098266602,,2.75812005996704,,,ARM,55.1,53.4,54.2
ARM,Armenia,2017,3291.0,29740.0,23.1,0.227880001068115,-0.251550018787384,539.3,64.7,3869.05373867752,101.619812011719,,53.5907592773438,8.89112567901611,2.70759010314941,,,ARM,51.6,55.7,53.7
ARM,Armenia,2018,3288.9,29740.0,23.1,0.188759997487068,-0.170582666993141,524.57,68.2,4196.00562301769,100.061309814453,88.5765686035156,56.1650505065918,8.98857688903809,2.25586795806885,,,ARM,50.4,54.9,52.8
ARM,Armenia,2019,3286.8,29740.0,24.3,0.178540006279945,-0.226045966148376,627.03,66.5,4597.22887399548,97.3231430053711,93.6171493530273,53.3068199157715,10.0050926208496,2.57191228866577,,,,,,
ARM,Armenia,2020,3284.7,29740.0,24.3,0.209199994802475,-0.304547429084778,622.39,76.5,4268.68093304583,96.6205673217773,94.89111328125,53.3061294555664,9.57238006591797,2.70555996894836,,,ARM,58.7,54.7,56.5
ARM,Armenia,2021,3282.6,29740.0,24.3,0.205569997429848,-0.282197445631027,576.14,78.6,4685.17997128509,93.8099975585938,97.3015594482422,58.7563095092773,9.66730403900146,2.76784992218018,,,,,,
ARM,Armenia,2022,3280.5,29740.0,24.7,0.209549993276596,-0.314792364835739,655.3,77.0,6571.97445545099,92.9023818969727,96.8645629882812,59.8064498901367,9.70266437530518,2.4918999671936,1187.43395996094,,ARM,60.4,56.3,58.2
ARM,Armenia,2023,,,24.7,0.181150004267693,-0.184129968285561,,80.0,8125.27395754003,93.8079528808594,95.1246490478516,61.1857986450195,,0.242599993944168,1039.84777832031,,,,,
ARM,Armenia,2024,,,38.9,,,,,8500.60522486719,,,,,,,,ARM,63.4,58.6,60.8
AUS,Australia,2000,1318141.0,7741220.0,,1.57197999954224,1.73217022418976,23495.94,46.8,21870.4159669594,101.583541870117,,,14.4271249771118,4.75933980941772,3470.7021484375,819.47485,,,,
AUS,Australia,2001,1315873.0,7741220.0,,,,23969.95,52.7,19695.7297379144,101.439407348633,,,15.1647281646729,5.22261571884155,,,,,,
AUS,Australia,2002,1313605.0,7741220.0,,1.74653995037079,1.65919864177704,24502.31,,20301.8431713256,102.534507751465,,,15.5506324768066,5.30569648742676,3755.802734375,961.32396,,,,
AUS,Australia,2003,1311337.0,7741220.0,,,1.77327883243561,25877.1,,23718.1338501868,102.854759216309,,,15.6161003112793,5.24525785446167,,,,,,
AUS,Australia,2004,1309069.0,7741220.0,,1.84801995754242,1.98494184017181,28033.19,,30836.7306824685,103.302062988281,,,15.5131454467773,5.19307231903076,4073.6591796875,885.3275,,,,
AUS,Australia,2005,1306801.0,7741220.0,,,1.74618124961853,31994.97,63.0,34479.7679298388,103.397911071777,,,15.8242025375366,5.27187633514404,,,,,,
AUS,Australia,2006,1304533.0,7741220.0,,2.17862010002136,1.70789933204651,34320.11,66.0,36595.7071548423,103.562561035156,,,15.6258916854858,5.16309022903442,4269.01806640625,1017.79166,,,,
AUS,Australia,2007,1302265.0,7741220.0,,,1.81895518302917,36315.46,69.5,41051.6120652288,105.422981262207,,,15.0950536727905,4.96966886520386,,,,,,
AUS,Australia,2008,1299997.0,7741220.0,,2.39897990226746,1.78476786613464,37767.96,71.7,49701.2817843335,105.24462890625,,,15.0764636993408,4.9018235206604,4379.63525390625,1136.46069,,,,
AUS,Australia,2009,1297729.0,7741220.0,,,1.70196378231049,39537.36,74.3,42816.5674002829,105.215629577637,,,14.7948474884033,5.39640665054321,,,,,,
AUS,Australia,2010,1295461.0,7741220.0,,2.37009000778198,1.76339137554169,42096.62,76.0,52144.6654705468,105.488502502441,,,17.1157817840576,6.15043640136719,4568.56640625,,,,,
AUS,Australia,2011,1302557.8,7741220.0,,2.23445010185242,1.69013810157776,45374.3,79.5,62605.600458306,105.274879455566,,,17.1274814605713,6.00601577758789,,,,,,
AUS,Australia,2012,1309654.6,7741220.0,,,1.61314845085144,46728.07,79.0,68072.8732340801,105.669723510742,,,15.3935136795044,5.55924797058105,,,,,,
AUS,Australia,2013,1316751.4,7741220.0,28.1,2.17708992958069,1.632453083992,50921.2,83.5,68190.7010035651,105.802581787109,,,15.5629892349243,5.5196270942688,,,,,,
AUS,Australia,2014,1323848.2,7741220.0,29.0,,1.60089492797852,52854.67,84.0,62544.0873773726,105.461601257324,,,15.0333337783813,5.4375524520874,,,,,,
AUS,Australia,2015,1330945.0,7741220.0,28.7,1.91902005672455,1.53325247764587,54235.21,84.6,56739.0265346593,101.665489196777,159.110763549805,119.679389953613,14.8824272155762,5.46285820007324,,,,,,
AUS,Australia,2016,1340372.0,7741220.0,28.6,,1.53218841552734,55173.81,86.5,49888.0410842736,101.180686950684,155.594390869141,119.682777404785,14.8905534744263,5.43038558959961,,,AUS,57.4,67.8,63.0
AUS,Australia,2017,1340174.0,7741220.0,29.7,1.87918996810913,1.49838602542877,55219.84,86.5,53901.7145392154,100.637657165527,153.576126098633,109.993309020996,14.8495864868164,5.32125568389893,,,AUS,50.8,83.5,67.9
AUS,Australia,2018,1340051.0,7741220.0,29.7,,1.55598998069763,56691.37,90.0,57196.4220783778,100.398712158203,136.105545043945,103.322090148926,15.1084365844727,5.40967607498169,,,AUS,56.6,78.0,68.0
AUS,Australia,2019,1340051.0,7741220.0,29.9,1.82570004463196,1.53869080543518,58770.26,93.6,54972.7017885437,100.199699401855,144.056564331055,109.759559631348,15.2933683395386,5.50858879089355,,,,,,
AUS,Australia,2020,1340051.0,7741220.0,30.4,,1.57335329055786,58870.89,94.7,51791.540179984,99.9011077880859,137.490737915039,110.139221191406,14.4562530517578,5.37828016281128,,,AUS,55.9,69.3,63.1
AUS,Australia,2021,1340051.0,7741220.0,32.1,1.8550900220871,1.47172200679779,61975.95,97.0,60607.7788605166,99.9291534423828,135.526565551758,112.688293457031,13.1453952789307,5.33320999145508,,,,,,
AUS,Australia,2022,1340051.0,7741220.0,32.1,,1.52843272686005,62305.03,97.0,64997.0136536475,99.1329879760742,133.277267456055,106.240760803223,13.9446935653687,5.20677661895752,,,AUS,60.2,82.0,72.0
AUS,Australia,2023,,,32.1,,1.58987963199615,,97.1,64835.9199754535,,,,,,,,,,,
AUS,Australia,2024,,,33.5,,,,,64407.484256932,,,,,,,,AUS,66.4,85.5,76.7
BDI,Burundi,2000,1939.4,27830.0,,,-1.41228187084198,1.65,0.0772,134.537861752389,60.7197418212891,,1.09112000465393,10.7352600097656,2.64547991752625,,,,,,
BDI,Burundi,2001,1939.4,27830.0,,,,3.58,0.106,132.159554541932,63.5211181640625,9.63891983032227,1.06465995311737,11.4331302642822,2.90390992164612,,,,,,
BDI,Burundi,2002,1939.4,27830.0,,,-1.50260782241821,0.93,0.118,120.952308575468,70.450569152832,10.1557302474976,1.65049004554749,12.4860801696777,3.00493001937866,,,,,,
BDI,Burundi,2003,1939.4,27830.0,,,-1.49027299880981,4.42,0.201,111.406682804391,76.1811599731445,10.493390083313,,,,,,,,,
BDI,Burundi,2004,1939.4,27830.0,,,-1.23842835426331,5.02,0.349,125.194965184533,81.4659194946289,12.0837802886963,2.15647006034851,9.17908000946045,3.74496006965637,,,,,,
BDI,Burundi,2005,1939.4,27830.0,,,-1.24252092838287,4.3,0.542,147.234619294225,86.9328231811523,13.2845802307129,2.18656992912292,10.9592695236206,3.632159948349,,,,,,
BDI,Burundi,2006,1939.4,27830.0,,,-1.11087679862976,5.63,0.658,161.892755640319,110.781700134277,14.6844301223755,2.21515011787415,,,,,,,,
BDI,Burundi,2007,1939.4,27830.0,,0.200680002570152,-1.28052830696106,4.48,0.7,166.162744906755,124.006248474121,15.7173204421997,2.31571006774902,,,,,,,,
BDI,Burundi,2008,1939.4,27830.0,,0.154170006513596,-1.13556611537933,2.54,0.81,189.502074570768,127.552742004395,,2.55176997184753,12.6155395507812,5.19290018081665,,,,,,
BDI,Burundi,2009,1939.4,27830.0,,0.140959993004799,-1.06673920154572,3.33,0.9,199.097633037708,135.512664794922,21.4418697357178,2.73604011535645,16.3016891479492,6.17194986343384,,,,,,
BDI,Burundi,2010,1939.4,27830.0,,0.137189999222755,-1.12470984458923,12.37,1.0,216.727705301976,139.46711730957,24.3956508636475,3.12123990058899,16.5881004333496,6.67801666259766,,,,,,
BDI,Burundi,2011,2110.8,27830.0,,,-1.08492064476013,10.02,1.11,230.070577369084,140.372177124023,27.5342102050781,,14.9792995452881,6.24009609222412,,,,,,
BDI,Burundi,2012,2282.2,27830.0,,0.107019998133183,-1.30940592288971,10.65,1.22,231.688496393569,135.609924316406,30.4175605773926,3.84211850166321,16.9720306396484,6.03472852706909,19.5796909332275,17.60764,,,,
BDI,Burundi,2013,2453.6,27830.0,5.0,,-1.07123398780823,14.28,1.26,234.843045388828,130.219497680664,35.2159614562988,4.62864255905151,17.2432594299316,5.99539995193481,,,,,,
BDI,Burundi,2014,2625.0,27830.0,7.0,,-1.1517721414566,12.91,1.04,250.540481111877,125.404472351074,41.4826889038086,3.86162900924683,22.286958694458,7.51637983322144,,,,,,
BDI,Burundi,2015,2796.4,27830.0,7.0,,-1.23757755756378,12.5,2.0,280.966831311923,120.036262512207,45.2864799499512,5.39195775985718,27.4972400665283,7.10290956497192,,,BDI,31.8,8.4,19.3
BDI,Burundi,2016,2796.4,27830.0,7.6,,-1.48436272144318,11.72,2.2,235.286205393908,116.194183349609,48.9952812194824,4.09006786346436,19.2901420593262,4.96585083007812,,,BDI,45.7,33.1,38.9
BDI,Burundi,2017,2796.4,27830.0,7.6,,-1.38194644451141,13.19,2.66,236.694472592753,111.118583679199,49.8075103759766,4.43720865249634,20.7077770233154,5.00918865203857,,,BDI,35.2,29.2,32.1
BDI,Burundi,2018,2796.4,27830.0,7.6,0.213119998574257,-1.44979333877563,20.41,4.0,224.89939239264,107.725219726562,47.8539505004883,4.69854831695557,21.1151103973389,5.4135274887085,22.4815998077393,6.58591,BDI,43.1,35.1,38.8
